qq	0.40
qw	0.30
qe	0.30
qr	0.20
qt	0.27
qa	0.70
qs	1.00
qd	0.80
qf	0.35
qg	0.49
qz	2.20
qx	1.70
qc	1.30
qv	0.50
qb	0.71
wq	0.30
ww	0.40
we	0.20
wr	0.20
wt	0.30
wa	0.40
ws	0.70
wd	0.55
wf	0.37
wg	0.55
wz	1.70
wx	2.20
wc	1.70
wv	0.74
wb	1.00
eq	0.30
ew	0.20
ee	0.40
er	0.20
et	0.40
ea	0.55
es	0.65
ed	0.70
ef	0.35
eg	0.70
ez	1.60
ex	1.90
ec	2.20
ev	0.90
eb	1.40
rq	0.20
rw	0.20
re	0.20
rr	0.40
rt	0.70
ra	0.39
rs	0.57
rd	0.75
rf	0.70
rg	1.25
rz	1.78
rx	2.14
rc	2.50
rv	2.20
rb	2.80
tq	0.27
tw	0.30
te	0.40
tr	0.70
tt	0.40
ta	0.46
ts	0.67
td	0.95
tf	1.13
tg	0.70
tz	1.85
tx	2.24
tc	2.70
tv	2.56
tb	2.20
aq	0.70
aw	0.40
ae	0.55
ar	0.39
at	0.46
aa	0.40
as	0.30
ad	0.30
af	0.20
ag	0.27
az	0.70
ax	1.00
ac	0.80
av	0.35
ab	0.49
sq	1.00
sw	0.70
se	0.65
sr	0.57
st	0.67
sa	0.30
ss	0.40
sd	0.20
sf	0.20
sg	0.30
sz	0.40
sx	0.70
sc	0.55
sv	0.37
sb	0.55
dq	0.80
dw	0.55
de	0.70
dr	0.75
dt	0.95
da	0.30
ds	0.20
dd	0.40
df	0.20
dg	0.40
dz	0.55
dx	0.65
dc	0.70
dv	0.35
db	0.70
fq	0.35
fw	0.37
fe	0.35
fr	0.70
ft	1.13
fa	0.20
fs	0.20
fd	0.20
ff	0.40
fg	0.70
fz	0.39
fx	0.57
fc	0.75
fv	0.70
fb	1.25
gq	0.49
gw	0.55
ge	0.70
gr	1.25
gt	0.70
ga	0.27
gs	0.30
gd	0.40
gf	0.70
gg	0.40
gz	0.46
gx	0.67
gc	0.95
gv	1.13
gb	0.70
zq	2.20
zw	1.70
ze	1.60
zr	1.78
zt	1.85
za	0.70
zs	0.40
zd	0.55
zf	0.39
zg	0.46
zz	0.40
zx	0.30
zc	0.30
zv	0.20
zb	0.27
xq	1.70
xw	2.20
xe	1.90
xr	2.14
xt	2.24
xa	1.00
xs	0.70
xd	0.65
xf	0.57
xg	0.67
xz	0.30
xx	0.40
xc	0.20
xv	0.20
xb	0.30
cq	1.30
cw	1.70
ce	2.20
cr	2.50
ct	2.70
ca	0.80
cs	0.55
cd	0.70
cf	0.75
cg	0.95
cz	0.30
cx	0.20
cc	0.40
cv	0.20
cb	0.40
vq	0.50
vw	0.74
ve	0.90
vr	2.20
vt	2.56
va	0.35
vs	0.37
vd	0.35
vf	0.70
vg	1.13
vz	0.20
vx	0.20
vc	0.20
vv	0.40
vb	0.70
bq	0.71
bw	1.00
be	1.40
br	2.80
bt	2.20
ba	0.49
bs	0.55
bd	0.70
bf	1.25
bg	0.70
bz	0.27
bx	0.30
bc	0.40
bv	0.70
bb	0.40
yy	0.40
yu	0.70
yi	0.40
yo	0.30
yp	0.27
yh	0.70
yj	1.27
yk	1.05
yl	0.73
y;	0.48
yn	2.20
ym	2.84
y,	2.90
y.	2.36
y/	1.89
uy	0.70
uu	0.40
ui	0.20
uo	0.20
up	0.20
uh	1.15
uj	0.70
uk	0.85
ul	0.63
u;	0.41
un	2.60
um	2.20
u,	2.70
u.	2.26
u/	1.82
iy	0.40
iu	0.20
ii	0.40
io	0.20
ip	0.30
ih	0.50
ij	0.45
ik	0.70
il	0.55
i;	0.45
in	1.00
im	1.10
i,	2.20
i.	1.70
i/	1.40
oy	0.30
ou	0.20
oi	0.20
oo	0.40
op	0.30
oh	0.45
oj	0.43
ok	0.65
ol	0.70
o;	0.60
on	0.80
om	0.86
o,	1.90
o.	2.20
o/	2.10
py	0.27
pu	0.20
pi	0.30
po	0.30
pp	0.40
ph	0.45
pj	0.45
pk	1.00
pl	1.20
p;	0.70
pn	0.63
pm	0.70
p,	1.70
p.	2.10
p/	2.20
hy	0.70
hu	1.15
hi	0.50
ho	0.45
hp	0.45
hh	0.40
hj	0.70
hk	0.40
hl	0.30
h;	0.27
hn	0.70
hm	1.27
h,	1.05
h.	0.73
h/	0.48
jy	1.27
ju	0.70
ji	0.45
jo	0.43
jp	0.45
jh	0.70
jj	0.40
jk	0.20
jl	0.20
j;	0.20
jn	1.15
jm	0.70
j,	0.85
j.	0.63
j/	0.41
ky	1.05
ku	0.85
ki	0.70
ko	0.65
kp	1.00
kh	0.40
kj	0.20
kk	0.40
kl	0.20
k;	0.30
kn	0.50
km	0.45
k,	0.70
k.	0.55
k/	0.45
ly	0.73
lu	0.63
li	0.55
