⺀	[丶丶,bīng_èr,部首補充]
⺁	[⺁,yì,部首補充]
⺂	[⺂,,部首補充]
⺃	[⺃,,部首補充]
⺄	[⺄,,部首補充]
⺅	[亻,,部首補充]
⺆	[⺆,,部首補充]
⺇	[⺇,,部首補充]
⺈	[⺈,,部首補充]
⺉	[刂,,部首補充]
⺊	[⺊,,部首補充]
⺋	[⺋,,部首補充]
⺌	[⺌,,部首補充]
⺍	[⺍,,部首補充]
⺎	[一儿,,部首補充]
⺏	[八儿,,部首補充]
⺐	[尢,,部首補充]
⺑	[八几,,部首補充]
⺒	[巳,,部首補充]
⺓	[幺,,部首補充]
⺔	[彑,,部首補充]
⺕	[⺕,,部首補充]
⺖	[忄,,部首補充]
⺗	[⺗,,部首補充]
⺘	[扌,,部首補充]
⺙	[攵,,部首補充]
⺛	[旡,,部首補充]
⺜	[⺜,,部首補充]
⺝	[⺝,,部首補充]
⺞	[歺,,部首補充]
⺟	[母,,部首補充]
⺠	[民,,部首補充]
⺡	[氵,,部首補充]
⺢	[氺,,部首補充]
⺣	[灬,,部首補充]
⺤	[爫,,部首補充]
⺥	[⺥,,部首補充]
⺦	[丬,,部首補充]
⺧	[⺧,,部首補充]
⺨	[犭,,部首補充]
⺩	[王,,部首補充]
⺪	[⺪,,部首補充]
⺫	[罒,,部首補充]
⺬	[⺬,,部首補充]
⺭	[礻,,部首補充]
⺮	[⺮,,部首補充]
⺯	[糹,,部首補充]
⺰	[纟,,部首補充]
⺱	[冂乂,,部首補充]
⺲	[罒,,部首補充]
⺳	[冖八,,部首補充]
⺴	[冖儿,,部首補充]
⺵	[⺵,,部首補充]
⺶	[⺶,,部首補充]
⺷	[⺷,,部首補充]
⺸	[⺸,,部首補充]
⺹	[耂,,部首補充]
⺺	[肀,,部首補充]
⺻	[⺻,,部首補充]
⺼	[⺼,,部首補充]
⺽	[⺽,,部首補充]
⺾	[艹,,部首補充]
⺿	[⺿,,部首補充]
⻀	[卝,,部首補充]
⻁	[虎,,部首補充]
⻂	[衤,,部首補充]
⻃	[覀,,部首補充]
⻄	[西,,部首補充]
⻅	[见,,部首補充]
⻆	[⺈用,,部首補充]
⻇	[⺈用,,部首補充]
⻈	[讠,,部首補充]
⻉	[贝,,部首補充]
⻊	[⻊,,部首補充]
⻋	[车,,部首補充]
⻌	[辶,,部首補充]
⻍	[⻍,,部首補充]
⻎	[辶,,部首補充]
⻏	[阝,,部首補充]
⻐	[钅,,部首補充]
⻑	[長,,部首補充]
⻒	[镸,,部首補充]
⻓	[长,,部首補充]
⻔	[门,,部首補充]
⻕	[丿㠯,,部首補充]
⻖	[阝,,部首補充]
⻗	[⻗,,部首補充]
⻘	[龶⺝,,部首補充]
⻙	[韦,,部首補充]
⻚	[页,,部首補充]
⻛	[几乂,,部首補充]
⻜	[飞,,部首補充]
⻝	[食,,部首補充]
⻞	[⻞,,部首補充]
⻟	[飠,,部首補充]
⻠	[饣,,部首補充]
⻡	[巛一自,,部首補充]
⻢	[马,,部首補充]
⻣	[骨,,部首補充]
⻤	[鬼,,部首補充]
⻥	[鱼,,部首補充]
⻦	[鸟,,部首補充]
⻧	[⺊龱,,部首補充]
⻨	[龶夂,,部首補充]
⻩	[黄,,部首補充]
⻪	[黾,,部首補充]
⻫	[斉,,部首補充]
⻬	[齐,,部首補充]
⻭	[歯,,部首補充]
⻮	[齿,,部首補充]
⻯	[竜,,部首補充]
⻰	[龙,,部首補充]
⻱	[⿔,,部首補充]
⻲	[亀,,部首補充]
⻳	[龟,,部首補充]
⼀	[一,,康熙部首]
⼁	[丨,,康熙部首]
⼂	[丶,,康熙部首]
⼃	[丿,,康熙部首]
⼄	[乙,,康熙部首]
⼅	[亅,,康熙部首]
⼆	[二,,康熙部首]
⼇	[亠,,康熙部首]
⼈	[人,,康熙部首]
⼉	[儿,,康熙部首]
⼊	[入,,康熙部首]
⼋	[,,康熙部首]
⼌	[冂,,康熙部首]
⼍	[冖,,康熙部首]
⼎	[冫,bīng_èr,康熙部首]
⼏	[几,,康熙部首]
⼐	[凵,,康熙部首]
⼑	[刀,,康熙部首]
⼒	[力,,康熙部首]
⼓	[勹,,康熙部首]
⼔	[匕,,康熙部首]
⼕	[匚,,康熙部首]
⼖	[匚,,康熙部首]
⼗	[十,,康熙部首]
⼘	[卜,,康熙部首]
⼙	[卩,,康熙部首]
⼚	[厂,,康熙部首]
⼛	[厶,,康熙部首]
⼜	[又,,康熙部首]
⼝	[口,,康熙部首]
⼞	[囗,,康熙部首]
⼟	[土,,康熙部首]
⼠	[士,,康熙部首]
⼡	[夂,,康熙部首]
⼢	[夂,,康熙部首]
⼣	[夕,,康熙部首]
⼤	[大,,康熙部首]
⼥	[女,,康熙部首]
⼦	[子,,康熙部首]
⼧	[宀,,康熙部首]
