Ac	門
Ae	斉
Ae	齐
Ah	儿
Aj	木
Aj	朩
Am	两
Ar	音
Au	力
Ay	黽
Ay	黾
Be	髟
Bh	支
Bk	皿
Bl	幺
Bl	彡
Bl	
Bl	
Bl	𰀪
Bm	土
Bo	门
Bx	黃
Bx	黄
By	鬼
By	
Bz	井
Ca	六
Ci	不
Cj	钅
Cj	自
Ck	丿
Cv	囚
Cy	至
Cy	鹿
Cy	
Cy	
Dd	⺬
Dd	示
Dd	礻
Dd	𱍐
Dh	⺊
Dh	卜
Dh	生
Dj	贝
Dm	非
Dm	
Dn	里
Do	之
Dp	飛
Dp	九
Ds	山
Ds	卌
Ds	
Du	巳
Dy	白
Dz	臣
Dz	
Dz	
Eh	コ
Eh	匚
Eh	
Eh	
Eh	𠥓
Eh	羽
Ei	豆
Ei	鱼
Ei	𩵋
El	乍
Em	皮
Er	冖
Er	宀
Eu	矢
Ew	巴
Ff	乡
Fh	㇀
Fh	一
Fh	丗
Fh	卅
Fj	⽱
Fj	禸
Fj	行
Fk	戶
Fk	户
Fk	戸
Fk	
Fm	丣
Fm	卯
Fm	
Fm	
Fn	饣
Fn	瓦
Fq	气
Fu	了
Fu	耒
Fv	⾻
Fv	冎
Fv	骨
Fv	
Fy	欠
Fz	习
Gb	馬
Gb	
Gh	尢
Gh	尤
Gi	王
Gj	㐄
Gj	
Gj	
Gj	
Gl	十
Gl	𠂇
Gl	𬺰
Gn	甫
Go	革
Gp	广
Gy	目
Hc	千
Hc	
He	也
Hf	面
Hf	靣
Hg	⺍
Hg	ツ
Hg	水
Hg	氵
Hg	氺
Hg	
Hg	
Hg	
Hs	壴
Hs	匕
Hs	
Hs	
Hs	
Ht	丩
Ht	
Ht	
Ht	糸
Ht	糹
Hv	仑
Ia	
Ia	屮
Ia	
Ia	
Ia	
Ib	飞
Ic	貝
Id	⺶
Id	⺷
Id	⺸
Id	羊
Id	芈
Id	
Ie	戈
Ie	
Ie	
Iq	〇
Iq	口
Iq	
Is	由
Iu	{齊字腰}
Iw	韋
Jb	亍
Jb	彳
Jc	己
Je	⺜
Je	日
Je	𫩏
Jf	⿆
Jg	乙
Jg	𠃉
Jh	龙
Jh	竜
Ji	五
Jl	車
Jn	乌
Jt	夂
Jt	辛
Jt	
Jv	巛
Jv	巜
Jv	川
Jv	
Jv	
Jw	虫
Jx	未
Jz	冊
Jz	册
Jz	
Jz	𠕁
Kd	及
Kd	
Kf	⺪
Kf	疋
Kg	〢
Kg	リ
Kg	刀
Kg	刂
Kg	
Kg	
Kg	
Kg	
Kg	
Kj	亻
Ks	丨
Ks	亅
Kt	豕
Kt	
Kt	𧰧
Kt	㡀
Kt	
Kw	页
Lc	身
Ld	止
Ld	龰
Ld	
Ld	𠂉
Le	犬
Le	犭
Lk	舟
Ln	七
Ln	
Lr	干
Lr	
Lt	⻍
Lt	辶
Lv	゛
Lv	冫
Lv	
Lw	龱
Lw	𱕻
Lw	
Lw	
Lw	寸
Lz	豸
Lz	牛
Lz	牜
Lz	⺧
Ma	予
Md	⺝
Md	⺼
Md	円
Md	月
Md	
Md	
Md	
Md	
Me	言
Mf	士
Mg	米
Mg	
Mx	方
Mz	甘
Mz	
Mz	尸
Mz	
Mz	𠁣
Mz	
Nb	丬
Nb	爿
Nb	片
Nb	
Nb	
Nb	
Nb	
Nd	厶
Nd	龴
Nd	
Nd	弋
Nd	
Nf	吕
Ng	
Ng	
Ng	⺗
Ng	心
Ng	忄
Ns	民
Nt	已
Nv	工
Od	弓
Oe	㇏
Oe	丶
Oe	乀
On	麻
Oq	业
Or	{赢框}
Or	衣
Or	衤
Or	
Or	
Or	𧘇
Or	僉
Os	㐅
Os	乂
Os	
Ot	⺌
Ot	小
Ot	
Ou	毛
Ou	
Oy	厂
Oy	⺁
Oz	⻞
Oz	食
Oz	飠
Oz	
Oz	
Oz	斤
Oz	
Pc	手
Pc	扌
Pc	龵
Pc	
Pc	
Pc	
Pc	
Pc	
Pd	云
Pd	
Pd	{云变}
Pf	斗
Ps	⺇
Ps	几
Pu	谷
Pu	
Pv	⺂
Pv	⺃
Pv	⺄
Pv	フ
Pv	レ
Pv	ヿ
Pv	ㄅ
Pv	ㄋ
Pv	ㄑ
Pv	ㄥ
Pv	㇂
Pv	㇅
Pv	㇈
Pv	㇋
Pv	㇎
Pv	㇗
Pv	㇞
Pv	㇢
Pv	乁
Pv	乚
Pv	乛
Pv	𠃌
Pw	鬲
Qb	虍
Qb	虎
Qb	
Qg	耳
Qh	韦
Qi	殳
Qj	瓜
Qk	䑕
Qk	鼠
Qk	鼡
Qk	
Qk	
Ql	用
Qm	古
Qm	歹
Qm	歺
Qm	
Qn	三
Qn	辰
Qo	走
Qp	襾
Qp	西
Qp	覀
Qq	石
Qt	母
Qu	氏
Qy	各
Rh	且
Ri	纟
Ri	
Ri	老
Ri	耂
Rk	辟
Rl	⺈
Rl	
Rl	二
Rl	曰
Ru	吅
Rw	曲
Rw	𡆪
Ry	攴
Ry	攵
Sc	見
Sf	毋
Sf	毌
Sf	
Sg	齿
Si	⿔
Si	亀
Si	龜
Si	龟
Si	𪚦
Si	𪚴
Si	𪛉
Si	𬹝
Si	人
Si	長
Si	镸
Si	
Si	⺕
Si	ㅌ
Si	彐
Si	彑
Si	
Si	
Si	
Si	
Si	
Sj	光
Sl	田
Sm	女
Sn	勹
St	甲
Sv	夫
Sy	侖
Sy	龠
Te	{凬字心}
Tf	⻗
Tf	雨
Tf	
Tf	
Ti	酉
Tj	阝
Tk	丸
Tk	敖
Tk	金
Tk	釒
Tk	
Tl	鳥
Tl	
Tl	卵
To	⺥
To	爪
To	爫
To	
To	𫜵
Tp	艮
Tp	
Tq	句
Tu	亼
Tu	亽
Ty	鬥
Tz	烏
Ua	⺻
Ua	聿
Ua	肀
Ua	
Ua	
Ua	
Ua	𦘒
Ua	而
Uc	戉
Uc	戊
Uc	
Uc	黑
Uc	黒
Ud	囗
Ue	无
Ue	旡
Ue	亠
Ue	丁
Uh	束
Us	缶
Us	𦈢
Us	㠯
Us	
Uv	弗
Uv	𠂔
Uv	𢎨
Uw	巾
Uw	见
Uy	風
Uz	⻊
Uz	足
Vh	隹
Vi	乃
Vi	
Vl	舌
Vl	
Vs	{彀字框无一}
Vv	廴
Vx	讠
Vy	䒑
Vy	丷
Vy	八
Vy	癶
Vy	{癶变}
Vy	
Vy	
Vy	
Vy	
Vy	{变}
Wh	⺿
Wh	丌
Wh	丱
Wh	卄
Wh	卝
Wh	廾
Wh	艸
Wh	艹
Wh	
Wi	ス
Wi	ㄡ
Wi	又
Wi	⺽
Wi	臼
Wi	
Wj	⺋
Wj	ㄗ
Wj	㔾
Wj	卩
Wj	卪
Wj	
Wl	鸟
Wl	
Wm	文
Wn	高
Wn	髙
Wn	
Wn	
Wn	
Wn	
Wp	象
Wp	
Wu	
Wu	
Wu	
Wu	
Wv	頁
Wv	
Xc	亡
Xc	亾
Xc	兦
Xh	马
Xh	𢎘
Xi	大
Xj	入
Xk	长
Xk	廿
Xk	龷
Xl	魚
Xu	疒
Xu	夕
Xy	尚
Xy	龸
Xy	
Ya	{微框}
Yb	㸦
Yb	牙
Yb	歯
Yb	齒
Yd	子
Yf	车
Yf	
Yg	亥
Yq	立
Yq	
Yt	⺵
Yt	四
Yt	罒
Yv	火
Yv	灬
Yv	
Yv	
Yv	
Yv	
Zh	兎
Zh	兔
Zh	
Zh	
Zh	丯
Zh	丰
Zh	龶
Zh	
Zh	
Zi	穴
Zi	⺮
Zi	竹
Zi	
Zi	
Zj	可
Zp	禾
Zv	⺆
Zv	冂
Zv	凵
Zv	
