゛,Lv	⺀
⺁,Oy	⺁
⺂,Pv	⺂
⺃,Pv	⺃
⺄,Pv	⺄
亻,Kj	⺅
⺆,Zv	⺆
⺇,Ps	⺇
⺈,Rl	⺈
刂,Kg	⺉
⺊,Dh	⺊
⺋,Wj	⺋
⺌,Ot	⺌
⺍,Hg	⺍
一儿,FhAh	⺎
八儿,VyAh	⺏
尢,Gh	⺐
八几,VyPs	⺑
巳,Du	⺒
幺,Bl	⺓
彑,Si	⺔
⺕,Si	⺕
忄,Ng	⺖
⺗,Ng	⺗
扌,Pc	⺘
攵,Ry	⺙
旡,Ue	⺛
⺜,Je	⺜
⺝,Md	⺝
歺,Qm	⺞
母,Qt	⺟
民,Ns	⺠
氵,Hg	⺡
氺,Hg	⺢
灬,Yv	⺣
爫,To	⺤
⺥,To	⺥
丬,Nb	⺦
⺧,Lz	⺧
犭,Le	⺨
王,Gi	⺩
⺪,Kf	⺪
罒,Yt	⺫
⺬,Dd	⺬
礻,Dd	⺭
⺮,Zi	⺮
糹,Ht	⺯
纟,Ri	⺰
冂乂,ZvOs	⺱
罒,Yt	⺲
冖八,ErVy	⺳
冖儿,ErAh	⺴
⺵,Yt	⺵
⺶,Id	⺶
⺷,Id	⺷
⺸,Id	⺸
耂,Ri	⺹
肀,Ua	⺺
⺻,Ua	⺻
⺼,Md	⺼
⺽,Wi	⺽
艹,Wh	⺾
⺿,Wh	⺿
卝,Wh	⻀
虎,Qb	⻁
衤,Or	⻂
覀,Qp	⻃
西,Qp	⻄
见,Uw	⻅
⺈用,RlQl	⻆
⺈用,RlQl	⻇
讠,Vx	⻈
贝,Dj	⻉
⻊,Uz	⻊
车,Yf	⻋
辶,Lt	⻌
⻍,Lt	⻍
辶,Lt	⻎
阝,Tj	⻏
钅,Cj	⻐
長,Si	⻑
镸,Si	⻒
长,Xk	⻓
门,Bo	⻔
丿㠯,CkUs	⻕
阝,Tj	⻖
⻗,Tf	⻗
龶⺝,ZhMd	⻘
韦,Qh	⻙
页,Kw	⻚
几乂,PsOs	⻛
飞,Ib	⻜
食,Oz	⻝
⻞,Oz	⻞
飠,Oz	⻟
饣,Fn	⻠
巛一自,JvFhCj	⻡
马,Xh	⻢
骨,Fv	⻣
鬼,By	⻤
鱼,Ei	⻥
鸟,Wl	⻦
⺊龱,DhLw	⻧
龶夂,ZhJt	⻨
黄,Bx	⻩
黾,Ay	⻪
斉,Ae	⻫
齐,Ae	⻬
歯,Yb	⻭
齿,Sg	⻮
竜,Jh	⻯
龙,Jh	⻰
⿔,Si	⻱
亀,Si	⻲
龟,Si	⻳
〇,Iq	〇
一,Fh	㇀
㇢,Pv	㇁
レ,Pv	㇂
レ,Pv	㇃
乚,Pv	㇄
㇅,Pv	㇅
𠃌,Pv	㇆
フ,Pv	㇇
㇈,Pv	㇈
ㄅ,Pv	㇉
㇅,Pv	㇊
ㄋ,Pv	㇋
ㄋ,Pv	㇌
㇅,Pv	㇍
㇎,Pv	㇎
㇏,Oe	㇏
一,Fh	㇐
丨,Ks	㇑
丿,Ck	㇒
丿,Ck	㇓
丶,Oe	㇔
ヿ,Pv	㇕
乛,Pv	㇖
㇗,Pv	㇗
丨一,KsFh	㇘
レ,Pv	㇙
丨,Ks	㇚
ㄑ,Pv	㇛
ㄥ,Pv	㇜
丶,Oe	㇝
㇞,Pv	㇞
乚,Pv	㇟
乙,Jg	㇠
ㄋ,Pv	㇡
㇢,Pv	㇢
〇,Iq	㇣
⺄,Pv	㇤
ㄅ,Pv	㇥
干丷戊乛,LrVyUcPv	㍻
日刀禾口,JeKgZpIq	㍼
大一止,XiFhLd	㍽
日月氵厶,JeMdHgNd	㍾
木丿未人云弋工礻土,AjCkJxBm	㍿
卝一,WhFh	㐀
一囗人,FhUdSi	㐁
七七七,LnLnLn	㐂
ㄥ丶丨,PvOeKs	㐃
㐄,Gj	㐄
乂,Os	㐅
⺁彐𠃌,OySiPv	㐆
九乙,DpJg	㐇
入乙,XjJg	㐈
丁乙,UeJg	㐉
士乙,MfJg	㐊
土乙,BmJg	㐋
𠂉也,LdHe	㐌
爫乙,ToJg	㐍
文乙,WmJg	㐎
五乙,JiJg	㐏
女又乙,SmWiJg	㐐
夂゛乙,JtLvJg	㐑
刀口乙,KgIqJg	㐒
可乙,ZjJg	㐓
乙,WnJg	㐔
由乙,IsJg	㐕
士口乚,MfIqPv	㐖
老乙,RiJg	㐗
米乙,MgJg	㐘
豆乙,EiJg	㐙
五口乙,JiIqJg	㐚
亻𠂇口乙,KjGlIqJg	㐛
一氺丶九,FhHgOeDp	㐜
扌句乙,PcTqJg	㐝
乙,MzVyJg	㐞
非乙,DmJg	㐟
爫子乚乙,ToYdPvJg	㐠
九而大,DpUaXi	㐡
氵爫子乙,HgToYdJg	㐢
广車乙,GpJlJg	㐣
九十目,DpGlGyVy	㐤
金且力乙,TkRhAuJg	㐥
一ㄅ丨手乙,WiFhPvJg	㐦
丶𬺰丿,OeGlCk	㐧
予予,MaMa	㐨
井井,BzBz	㐩
亠山人,UeDsSi	㐪
亠㐅凵,UeOsZv	㐫
,PdJv	㐬
亠囗口,UeUdIq	㐭
衣八井一,OrVyBzFh	㐮
口禾日,WnIqZpJe	㐯
亻口,KjIq	㐰
人彡,SiBl	㐱
亻大,KjXi	㐲
亻一儿,KjFhAh	㐳
亻夕,KjXu	㐴
亻一𬺰,KjFhGl	㐵
亻巳,KjDu	㐶
亻马,KjXh	㐷
亻欠,KjFy	㐸
亻气,KjFq	㐹
亻亻人,KjKjSi	㐺
亻冂人,KjZvSi	㐻
亻丿廾,KjCkWh	㐼
亻几乂,KjPsOs	㐽
亻二儿,KjRlAh	㐾
亻手,KjPc	㐿
亻大丶,KjXiOe	㑀
亻屮凵,KjIaZv	㑁
亻一冂人,KjFhZvSi	㑂
亻幺力,KjBlAu	㑃
亻母,KjQt	㑄
亻𠂉⺊一,KjLdDhFh	㑅
亻口儿,KjIqAh	㑆
亻⺈彐,KjRlSi	㑇
亻小,KjLnOt	㑈
亻几歹,KjPsQm	㑉
亻亠,KjUeYv	㑊
亻曲,KjRw	㑋
亻匚王,KjEhGi	㑌
亻耒,KjFu	㑍
亻巛山,KjJvDs	㑎
亻宀寸,KjErLw	㑏
亻⺊一小,KjDhFhOt	㑐
亻自,KjCj	㑑
亼口人,TuIqSi	㑒
亻厶𠂇又,KjNdGlWi	㑓
亻页,KjKw	㑔
亻山夕,KjDsXu	㑕
亻亻口丨,KjKjIqKs	㑖
亻身,KjLc	㑗
亻戈廾,KjIeWh	㑘
亻耳㇗,KjQgPv	㑙
亻𠃌阝,KjPvPcTj	㑚
亻束,KjUh	㑛
亻扌斤,KjPcOz	㑜
亻王廾,KjGiWh	㑝
亻火廾,KjYvWh	㑞
亻,KjOzVy	㑟
亻〢又土,KjKgWiBm	㑠
亻卩,KjTpWj	㑡
亻土厶卩,KjBmNdWj	㑢
亻木木,KjAjAj	㑣
亻艹田,KjWhSl	㑤
亻日勹,KjJeSnBl	㑥
亻户犬,KjFkLe	㑦
亻禾子,KjZpYd	㑧
亻口矢,KjIqEu	㑨
亻罒夕,KjYtXu	㑩
亻斉,KjAe	㑪
亻亽ヿ心,KjTuPvNg	㑫
亻女古,KjSmQm	㑬
亻田丌,KjSlWh	㑭
亻冖車,KjErJl	㑮
亻頁,KjWv	㑯
亻彑,KjSiKt	㑰
亻予丿木,KjMaCkAj	㑱
亻十冂,KjGlZvId	㑲
亻勹勹,KjSnIaIa	㑳
亻彐冖巾又,KjSiErWi	㑴
亻疒矢,KjXuEu	㑵
亻气米,KjFqMg	㑶
亻厶⺝匕,KjNdMdHs	㑷
亻古可,KjQmZj	㑸
亼由日,TuIsJe	㑹
亻隹乃,KjVhVi	㑺
亻宀心丿山,KjErNgDs	㑻
亻田各,KjSlQy	㑼
亻土,KjXyBm	㑽
亻言,KjMdMe	㑾
亻巛田木,KjJvSlAj	㑿
亻冂古,KjYqZvQm	㒀
亻囗土,KjUdBmId	㒁
亻艹耂日,KjWhRiJe	㒂
亻弋二貝,KjNdRlIc	㒃
亻犬灬,KjMdLeYv	㒄
亻衣夕夕,KjOrXuXu	㒅
亻亼口羽,KjTuIqEh	㒆
亻𠂉卌一灬,KjLdDsYv	㒇
亻ヿ耳攵,KjPvQgRy	㒈
亻木,KjXyAj	㒉
亻刀丶止刀丶止,KjKgOeLd	㒊
亻斤,KjMzVyOz	㒋
亻火火冖几,KjYvYvPs	㒌
亻厶厶厶糸,KjNdNdHt	㒍
亻一大非,KjFhXiDm	㒎
亻宀井゛,KjErBzLv	㒏
亻⺮勹日,KjZiSnJe	㒐
亻匚氵隹,KjEhHgVh	㒑
亻业䒑未,KjOqVyJx	㒒
亻土羊辶,KjBmIdLt	㒓
亻罒勹虫,KjYtSnJw	㒔
亻亠乡隹,KjUeFfVh	㒕
亻艹田⽱,KjWhSlFj	㒖
亻甘冖至,KjMzErCy	㒗
亻臣又立,KjDzWiYq	㒘
亻糹白巾,KjHtDyUw	㒙
