⺀	(丶丶,OeOe,bīng_èr,部首補充)
⺁	(⺁,Oy,yì,部首補充)
⺂	(⺂,Pv,,部首補充)
⺃	(⺃,Pv,,部首補充)
⺄	(⺄,Pv,,部首補充)
⺅	(亻,Kj,,部首補充)
⺆	(⺆,Zv,,部首補充)
⺇	(⺇,Ps,,部首補充)
⺈	(⺈,Rl,,部首補充)
⺉	(刂,Kg,,部首補充)
⺊	(⺊,Dh,,部首補充)
⺋	(⺋,Wj,,部首補充)
⺌	(⺌,Ot,,部首補充)
⺍	(⺍,Hg,,部首補充)
⺎	(一儿,FhAh,,部首補充)
⺏	(八儿,VyAh,,部首補充)
⺐	(尢,Gh,,部首補充)
⺑	(八几,VyPs,,部首補充)
⺒	(巳,Du,,部首補充)
⺓	(幺,Bl,,部首補充)
⺔	(彑,Si,,部首補充)
⺕	(⺕,Si,,部首補充)
⺖	(忄,Ng,,部首補充)
⺗	(⺗,Ng,,部首補充)
⺘	(扌,Pc,,部首補充)
⺙	(攵,Ry,,部首補充)
⺛	(旡,Ue,,部首補充)
⺜	(⺜,Je,,部首補充)
⺝	(⺝,Md,,部首補充)
⺞	(歺,Qm,,部首補充)
⺟	(母,Qt,,部首補充)
⺠	(民,Ns,,部首補充)
⺡	(氵,Hg,,部首補充)
⺢	(氺,Hg,,部首補充)
⺣	(灬,Yv,,部首補充)
⺤	(爫,To,,部首補充)
⺥	(⺥,To,,部首補充)
⺦	(丬,Nb,,部首補充)
⺧	(⺧,Lz,,部首補充)
⺨	(犭,Le,,部首補充)
⺩	(王,Gi,,部首補充)
⺪	(⺪,Kf,,部首補充)
⺫	(罒,Yt,,部首補充)
⺬	(⺬,Dd,,部首補充)
⺭	(礻,Dd,,部首補充)
⺮	(⺮,Zi,,部首補充)
⺯	(糹,Ht,,部首補充)
⺰	(纟,Ri,,部首補充)
⺱	(冂乂,ZvOs,,部首補充)
⺲	(罒,Yt,,部首補充)
⺳	(冖八,ErVy,,部首補充)
⺴	(冖儿,ErAh,,部首補充)
⺵	(⺵,Yt,,部首補充)
⺶	(⺶,Id,,部首補充)
⺷	(⺷,Id,,部首補充)
⺸	(⺸,Id,,部首補充)
⺹	(耂,Ri,,部首補充)
⺺	(肀,Ua,,部首補充)
⺻	(⺻,Ua,,部首補充)
⺼	(⺼,Md,,部首補充)
⺽	(⺽,Wi,,部首補充)
⺾	(艹,Wh,,部首補充)
⺿	(⺿,Wh,,部首補充)
⻀	(卝,Wh,,部首補充)
⻁	(虎,Qb,,部首補充)
⻂	(衤,Or,,部首補充)
⻃	(覀,Qp,,部首補充)
⻄	(西,Qp,,部首補充)
⻅	(见,Uw,,部首補充)
⻆	(⺈用,RlQl,,部首補充)
⻇	(⺈用,RlQl,,部首補充)
⻈	(讠,Vx,,部首補充)
⻉	(贝,Dj,,部首補充)
⻊	(⻊,Uz,,部首補充)
⻋	(车,Yf,,部首補充)
⻌	(辶,Lt,,部首補充)
⻍	(⻍,Lt,,部首補充)
⻎	(辶,Lt,,部首補充)
⻏	(阝,Tj,,部首補充)
⻐	(钅,Cj,,部首補充)
⻑	(長,Si,,部首補充)
⻒	(镸,Si,,部首補充)
⻓	(长,Xk,,部首補充)
⻔	(门,Bo,,部首補充)
⻕	(丿㠯,CkUs,,部首補充)
⻖	(阝,Tj,,部首補充)
⻗	(⻗,Tf,,部首補充)
⻘	(龶⺝,ZhMd,,部首補充)
⻙	(韦,Qh,,部首補充)
⻚	(页,Kw,,部首補充)
⻛	(几乂,PsOs,,部首補充)
⻜	(飞,Ib,,部首補充)
⻝	(食,Oz,,部首補充)
⻞	(⻞,Oz,,部首補充)
⻟	(飠,Oz,,部首補充)
⻠	(饣,Fn,,部首補充)
⻡	(巛一自,JvFhCj,,部首補充)
